№,КАТО,Новая протяженность КТ при последовательном подключении,Технология,Область,Район,Сельский округ,Нас пункт,Координаты СНП,Население,ГОД,Домохозяйства,Акимат,Школа,"Больница (ФАП, СВА, ВА)",Полиция (ОП),Аварийная служба (МЧС),Отдел обороны (Военкомат),Погран служба,Отдел ветеринарии,Библиотека,Сельский клуб/ДК,Общественная точка доступа,Цон,Количество подключенных объектов факт,Статус в разрезе населенного пкунтка,Доп. статус ,Что подключено,Кол-во точек,ВСЕГО ГУ/БО,Начало СМР,Завершение СМР,Ориентировочная протяженность ВОЛС (км),Откопка/Закопка траншей(км),Прокладка микротрубки(км)
1980,333277200,9,ВОЛС,Область Жетісу,Аксуский район,Суыксайский с.о.,с.Актобе,45.232702° 79.66533°,85,2026,21,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1981,333277300,12,ВОЛС,Область Жетісу,Аксуский район,Суыксайский с.о.,с.Ащыбулак,"45.256855, 79.523495",584,2026,146,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1982,333439600,,Спутник,Область Жетісу,Алакольский район,Бескольский,Сайхан,"46.418930, 80.679274",,2025,29,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
1983,333433200,15,ВОЛС,Область Жетісу,Алакольский район,Акжарский с.о.,с.Коныр,"45.748999, 80.786015",701,2026,175,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
1984,333437100,,Спутник,Область Жетісу,Алакольский район,Архарлинский с.о.,с.Архарлы,"46.249236, 80.102082",,2025,503,1,1,1,,,,,,,,,,3,Подключено,,"1 Акимат, 1 Школа, 1 ФАП",3,2,,,,,
1994,333459200,3,ВОЛС (Wi-Fi public),Область Жетісу,Алакольский район,Кабанбайский с.о.,с.Жамбыл,"45.864923, 80.627291",107,2026,27,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
1986,333445100,3,ВОЛС,Область Жетісу,Алакольский район,Екпендинский с.о.,с.Екпенди,"45.738200, 80.624003",1382,2026,346,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
1987,333445200,5,ВОЛС,Область Жетісу,Алакольский район,Екпендинский с.о.,с.Карлыгаш,"45.676433, 80.606962",448,2026,112,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
1988,333445300,4,ВОЛС,Область Жетісу,Алакольский район,Екпендинский с.о.,с.Ушкаиын,"45.679355, 80.584460",304,2026,76,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
1989,333451100,3,ВОЛС,Область Жетісу,Алакольский район,Жанаминский с.о.,с.Жанама,"46.215941, 80.847280",875,2026,219,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
1990,333451200,4,ВОЛС,Область Жетісу,Алакольский район,Жанаминский с.о.,с.Старая Жанама,"46.198228, 80.790551",145,2026,36,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
1991,333455300,10,ВОЛС,Область Жетісу,Алакольский район,Жыландинский с.о.,с.Кокжар,"45.655459, 80.889698",161,2026,40,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
1992,333455400,,Спутник,Область Жетісу,Алакольский район,Жыландинский с.о.,с.Майкан,"45.648132, 80.739652",,2025,53,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
1993,333455500,11,ВОЛС,Область Жетісу,Алакольский район,Жыландинский с.о.,с.Шынжылы,"45.659932, 80.794989",173,2026,43,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
1996,333457200,1,ВОЛС (Wi-Fi public),Область Жетісу,Алакольский район,Кольбайский с.о.,с.Алемды,"45.760044, 80.290880",98,2026,25,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
1995,333461100,15,ВОЛС,Область Жетісу,Алакольский район,Кайнарский с.о.,с.Кайнар,"46.088443, 81.252231",775,2026,194,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
1997,333457300,1,ВОЛС (Wi-Fi public),Область Жетісу,Алакольский район,Кольбайский с.о.,с.Будыр,"45.804252, 80.256691",83,2026,21,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
1999,333467400,"34,22",ВОЛС (Wi-Fi public),Область Жетісу,Алакольский район,Лепсинский с.о.,с.Чимбулак,45.590566 80.863674,62,2027,16,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
1998,333467200,3,ВОЛС,Область Жетісу,Алакольский район,Лепсинский с.о.,с.Байзерек,"45.635744, 80.623285",280,2026,70,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
2002,333469200,"34,22",ВОЛС (Wi-Fi public),Область Жетісу,Алакольский район,Теректинский с.о.,с.Талдыбулак,"45.852709, 80.699606",59,2026,15,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
2000,333441200,4,ВОЛС,Область Жетісу,Алакольский район,с.о.Сапак,с.Бибакан,"45.781385, 80.978191",161,2026,40,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
2001,333441100,3,ВОЛС,Область Жетісу,Алакольский район,с.о.Сапак,с.Сапак,"45.788141, 80.868956",483,2026,121,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
2003,333773200,"34,22",ВОЛС (Wi-Fi public),Область Жетісу,Алакольский район,Ушбулакский с.о.,с.Айпара,45.816257 81.213128,54,2026,14,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
2004,333473300,3,ВОЛС (Wi-Fi public),Область Жетісу,Алакольский район,Ушбулакский с.о.,с.Кенес,"45.815460, 81.326441",73,2026,18,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
2005,333420200,"4,5",ВОЛС (Wi-Fi public),Область Жетісу,Алакольский район,,МТФ 3,46.246947° 80.931974°,120,2026,30,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
2021,333657400,"0,5",ВОЛС (Wi-Fi public),Область Жетісу,Ескельдинский район,с.о. Акын Сара,с.Тамбала,"45.232143, 78.667329",279,2026,70,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2006,331039200,"2,5",ВОЛС,Область Жетісу,город Талдыкорган,Еркинский с.о.,Отделение 3,"44.967623, 78.304672",488,2026,122,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,15.07.2026,,,
2007,333633200,10,ВОЛС,Область Жетісу,Ескельдинский район,Алдабергеновский с.о.,с.Жаналык,"44.880296, 78.285222",382,2026,96,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2008,333633300,5,ВОЛС,Область Жетісу,Ескельдинский район,Алдабергеновский с.о.,с.Жастар,"44.911743, 78.270076",719,2026,180,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2009,333637200,"2,5",ВОЛС,Область Жетісу,Ескельдинский район,Жалгызагашский с.о.,с.Бигаш,"44.735457, 78.592580",186,2026,47,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2010,333643200,"9,5",ВОЛС,Область Жетісу,Ескельдинский район,Кайнарлинский с.о.,с.Актасты,"44.964413, 78.686912",327,2026,82,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2011,333643100,10,ВОЛС,Область Жетісу,Ескельдинский район,Кайнарлинский с.о.,с.Кайнарлы,"44.984275, 78.678711",830,2026,208,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2012,333643300,10,ВОЛС,Область Жетісу,Ескельдинский район,Кайнарлинский с.о.,с.Коржымбай,"45.021163, 78.731370",229,2026,57,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2013,333630200,3,ВОЛС,Область Жетісу,Ескельдинский район,Карабулакский с.о.,с.Абай,"44.878680, 78.535753",1023,2026,256,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2014,333630500,4,ВОЛС,Область Жетісу,Ескельдинский район,Карабулакский с.о.,с.Оркусак,"44.873577, 78.594341",471,2026,118,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2015,333647200,10,ВОЛС,Область Жетісу,Ескельдинский район,Каратальский с.о.,с.Теректы,"44.935299, 78.708840",667,2026,167,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2016,333639200,"6,5",ВОЛС,Область Жетісу,Ескельдинский район,Кокжазыкский с.о.,с.Боктерли,"44.969874, 78.652145",170,2026,43,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2017,333639300,3,ВОЛС,Область Жетісу,Ескельдинский район,Кокжазыкский с.о.,с.Тенлик,"44.912400, 78.651123",211,2026,53,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2018,333649300,8,ВОЛС,Область Жетісу,Ескельдинский район,Конырский с.о.,с.Коктобе,"45.098379, 78.710816",182,2026,46,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2019,333657200,3,ВОЛС,Область Жетісу,Ескельдинский район,с.о. Акын Сара,с.Акешки,"45.216349, 78.696389",427,2026,107,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2020,333657300,"2,5",ВОЛС,Область Жетісу,Ескельдинский район,с.о. Акын Сара,с.Актума,"45.297900, 79.066000",108,2026,27,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2033,334437400,7,ВОЛС (Wi-Fi public),Область Жетісу,Каратальский район,Ескельдинский с.о.,с.Кайнар,"45.207078, 78.087260",118,2026,30,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2022,333635200,5,ВОЛС,Область Жетісу,Ескельдинский район,с.о.им.Бактыбая Жолбарысулы,с.Отенай,"44.964521, 78.240423",336,2026,84,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2023,333655200,6,ВОЛС,Область Жетісу,Ескельдинский район,Туленгутский с.о.,с.Екпенди,"44.855050, 78.639167",491,2026,123,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2024,333655300,6,ВОЛС,Область Жетісу,Ескельдинский район,Туленгутский с.о.,с.Жендик,"44.901554, 78.650809",158,2026,40,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
2025,334439100,"3,5",ВОЛС,Область Жетісу,Каратальский район,Байшегирский с.о.,с.Акжар,"46.013248, 77.186016",165,2027,41,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2026,334439300,2,ВОЛС,Область Жетісу,Каратальский район,Байшегирский с.о.,с.Алмалы,"46.217057, 77.295521",,2025,826,1,1,1,1,,,,,,,,,4,Подключено,временно спутник,"1 Акимат, 1 Школа, 1 ФАП, 1 Полиция",4,3,15.03.2026,30.11.2026,,,
2027,334439400,5,ВОЛС,Область Жетісу,Каратальский район,Байшегирский с.о.,с.Дойыншы,"46.243509, 77.297066",289,2027,72,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2028,334433400,"7,5",ВОЛС,Область Жетісу,Каратальский район,Балпыкский с.о.,с.Умтул,"45.225910, 77.873209",180,2027,45,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2029,334441002,"36,22",ВОЛС,Область Жетісу,Каратальский район,Бастобинский с.о.,с. Бастобе,45.271369 77.985134,2926,2027,732,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2030,334447300,13,ВОЛС,Область Жетісу,Каратальский район,Бастобинский с.о.,с.Жылыбулак,"45.327794, 78.096917",652,2027,163,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2031,334447400,11,ВОЛС,Область Жетісу,Каратальский район,Бастобинский с.о.,с.Киши Тобе,"45.345439, 77.929291",275,2027,69,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2032,334434002,"36,22",ВОЛС,Область Жетісу,Каратальский район,Ельтайский с.о.,с. Сарыбулак,45.057564 78.068045,279,2027,70,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2039,334443200,3,ВОЛС (Wi-Fi public),Область Жетісу,Каратальский район,с.о.Жолбарыс батыра,с.Айдар,"45.102400, 77.947446",127,2026,32,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2034,334437300,15,ВОЛС,Область Жетісу,Каратальский район,Ескельдинский с.о.,с.Кокдала,"45.231248, 78.124378",632,2027,158,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2035,334445100,32,ВОЛС,Область Жетісу,Каратальский район,Кызылбалыкский с.о.,с.Копбирлик,"46.445491, 77.285639",910,2027,228,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2036,334449200,"3,5",ВОЛС,Область Жетісу,Каратальский район,с.о.Айту би,с.Айту,"45.207447, 77.937017",275,2027,69,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2037,334449300,3,ВОЛС,Область Жетісу,Каратальский район,с.о.Айту би,с.Жасталап,"45.293775, 77.821754",321,2027,80,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2038,334449400,"7,5",ВОЛС,Область Жетісу,Каратальский район,с.о.Айту би,с.Кожбан,"45.267773, 77.936154",179,2027,45,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2041,334453200,"4,5",ВОЛС (Wi-Fi public),Область Жетісу,Каратальский район,Тастобинский с.о.,с.Бесагаш,"44.992951, 78.048929",97,2026,24,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2040,334443500,11,ВОЛС,Область Жетісу,Каратальский район,с.о.Жолбарыс батыра,с.Карашенгель,"45.167458, 77.874036",277,2027,69,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2042,334453300,"2,5",ВОЛС (Wi-Fi public),Область Жетісу,Каратальский район,Тастобинский с.о.,с.Бирлик,"45.013007, 78.012430",131,2027,33,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2043,334420200,1,ВОЛС (Wi-Fi public),Область Жетісу,Каратальский район,Уштобинская г.а.,с.Ойсаз,"45.245516, 77.996260",157,2026,39,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2055,334039700,1,ВОЛС (Wi-Fi public),Область Жетісу,Кербулакский район,Жоламанский с.о.,с.Самен,"44.220868, 77.604433",134,2025,34,,,,,,,,,,,1,,1,Подключено,временно спутник,1 Публичный,1,0,15.03.2026,30.11.2026,,,
2044,334420300,6,ВОЛС,Область Жетісу,Каратальский район,,с.Ушкомей,"45.238821, 78.043296",123,2027,31,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2045,334033200,5,ВОЛС,Область Жетісу,Кербулакский район,Алтынемельский с.о.,с.Байгазы,"44.371781, 78.342579",385,2027,96,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2046,334033300,5,ВОЛС,Область Жетісу,Кербулакский район,Алтынемельский с.о.,с.Карлыгаш,"44.283252, 78.407500",125,2027,31,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2047,334033400,3,ВОЛС,Область Жетісу,Кербулакский район,Алтынемельский с.о.,с.Кызылшкол,"44.318934, 78.214362",331,2027,83,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
2048,334033500,3,ВОЛС,Область Жетісу,Кербулакский район,Алтынемельский с.о.,с.Тастыбастау,"44.293202, 78.446757",208,2027,52,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
